 Temp.     Deff        IWC         V_mass      N          Dmean   Beff     2/Qabs(12)_eff
(deg. C)   (um)      (g/cm3)       (cm/s)    (#/cm3)      (cm)

 -56.0    46.1688   0.60955E-08    10.176   0.1790E+00   .00372   1.0819   1.7915
 -56.0    57.9805   0.10500E-07    17.541   0.1602E+00   .00450   1.0604   1.8427
 -56.0    43.1651   0.82763E-08    10.168   0.3884E+00   .00305   1.1124   1.7478
 -54.0    66.2901   0.11055E-07    22.476   0.8460E-01   .00600   1.0441   1.8776
 -53.0    56.7402   0.49813E-08    15.872   0.7609E-01   .00466   1.0570   1.8441
 -51.0    63.8878   0.75588E-08    20.179   0.6890E-01   .00560   1.0470   1.8719
 -55.0    65.4211   0.47280E-08    18.851   0.2752E-01   .00776   1.0378   1.8945
 -57.0    62.9591   0.80628E-08    19.869   0.7808E-01   .00551   1.0490   1.8683
 -31.0    96.4048   0.11308E-07    49.356   0.9332E-02   .01573   1.0306   1.9187
 -31.0    95.3605   0.17538E-07    47.674   0.1319E-01   .01799   1.0302   1.9196
 -34.0   106.4980   0.27482E-07    56.706   0.9604E-02   .02649   1.0302   1.9216
 -35.0   126.5063   0.21175E-07    76.513   0.3510E-02   .03817   1.0303   1.9223
 -35.0   119.5483   0.23437E-07    69.456   0.4497E-02   .03779   1.0303   1.9223
 -36.0   106.6534   0.12916E-07    56.189   0.4256E-02   .02962   1.0301   1.9218
 -38.0   110.1771   0.16038E-07    59.808   0.4261E-02   .03295   1.0301   1.9222
 -39.0    99.5314   0.17696E-07    48.767   0.7899E-02   .02582   1.0299   1.9215
 -42.0    96.9913   0.17239E-07    46.182   0.8770E-02   .02412   1.0300   1.9211
 -46.0    83.6431   0.22281E-07    33.699   0.2701E-01   .01643   1.0301   1.9184
 -49.0    65.0361   0.57968E-08    21.271   0.5009E-01   .00573   1.0445   1.8753
 -52.0    75.6745   0.14528E-07    27.580   0.3917E-01   .01069   1.0325   1.9101
 -56.0    63.5363   0.12793E-07    18.714   0.1015E+00   .00631   1.0437   1.8803
 -56.0    57.5549   0.94037E-08    14.634   0.1169E+00   .00536   1.0510   1.8606
 -51.0    65.9284   0.77322E-08    19.081   0.4096E-01   .00806   1.0361   1.8968
 -51.0    81.7600   0.15807E-07    31.534   0.1983E-01   .01654   1.0300   1.9185
 -49.0    87.0523   0.28399E-07    36.875   0.2894E-01   .01738   1.0301   1.9189
 -47.0    77.5799   0.17002E-07    28.520   0.3398E-01   .01286   1.0310   1.9147
 -46.0    78.6705   0.12204E-07    29.561   0.2229E-01   .01349   1.0308   1.9154
 -46.0    77.6611   0.20897E-07    28.932   0.4482E-01   .01213   1.0314   1.9135
 -47.0    88.2252   0.18349E-07    38.584   0.1939E-01   .01669   1.0303   1.9185
 -47.0    71.3454   0.11665E-07    24.543   0.5572E-01   .00746   1.0376   1.8963
 -45.0    86.7441   0.99395E-08    36.820   0.9579E-02   .01769   1.0301   1.9193
 -43.0    92.4603   0.19855E-07    42.241   0.1231E-01   .02199   1.0298   1.9210
 -42.0    93.4868   0.24830E-07    43.377   0.1544E-01   .02191   1.0298   1.9209
