 Temp.     Deff        IWC         V_mass      N          Dmean   Beff     2/Qabs(12)_eff
(deg. C)   (um)      (g/cm3)       (cm/s)    (#/cm3)      (cm)

 -45.0    65.1823   0.23778E-07    26.058   0.2897E+00   .00456   1.0558   1.8522
 -45.0    99.6119   0.39910E-07    59.010   0.9088E-01   .00753   1.0365   1.9039
 -44.0   131.1190   0.48842E-07    87.942   0.2304E-01   .01487   1.0317   1.9187
 -51.0    74.1584   0.38297E-07    34.119   0.2757E+00   .00508   1.0490   1.8700
 -53.0    76.5607   0.39007E-07    34.616   0.2152E+00   .00584   1.0439   1.8825
 -53.0    79.4946   0.48221E-07    38.029   0.2373E+00   .00612   1.0428   1.8859
 -52.0    81.1749   0.42167E-07    39.452   0.1965E+00   .00634   1.0416   1.8897
 -52.0    97.0690   0.74984E-07    55.881   0.1717E+00   .00787   1.0366   1.9044
 -52.0    83.7596   0.65182E-07    42.611   0.2994E+00   .00603   1.0423   1.8890
 -49.0    94.0635   0.57378E-07    51.872   0.1375E+00   .00778   1.0365   1.9039
 -50.0   103.0923   0.76772E-07    63.161   0.1454E+00   .00826   1.0356   1.9069
 -49.0   104.9807   0.11486E-06    66.000   0.2076E+00   .00825   1.0356   1.9072
 -50.0   102.3315   0.76414E-07    63.106   0.1638E+00   .00766   1.0367   1.9042
 -50.0    93.4950   0.54171E-07    51.604   0.1327E+00   .00785   1.0366   1.9035
 -50.0    88.2337   0.41204E-07    43.957   0.1023E+00   .00856   1.0357   1.9048
 -50.0    91.6271   0.32904E-07    46.753   0.7162E-01   .00894   1.0351   1.9071
 -50.0    80.0765   0.23451E-07    37.015   0.1206E+00   .00600   1.0432   1.8867
 -48.0    72.5370   0.22288E-07    25.089   0.9496E-01   .00833   1.0345   1.9029
 -44.0    84.0244   0.19525E-07    36.145   0.3673E-01   .01132   1.0320   1.9133
 -44.0   101.4607   0.24838E-07    51.783   0.1195E-01   .02326   1.0301   1.9210
 -42.0    99.9312   0.10041E-06    53.931   0.1080E+00   .01240   1.0316   1.9163
 -39.0    94.1708   0.37122E-07    44.892   0.2383E-01   .02044   1.0299   1.9207
 -38.0    95.0099   0.34631E-07    45.394   0.2067E-01   .02082   1.0300   1.9208
 -36.0    73.5843   0.11037E-07    25.814   0.3955E-01   .00870   1.0352   1.9037
 -33.0   102.6181   0.49489E-07    53.365   0.2018E-01   .02426   1.0301   1.9215
 -33.0   102.8233   0.46348E-07    54.359   0.2040E-01   .02298   1.0301   1.9213
 -30.0   111.8743   0.25745E-07    64.791   0.8054E-02   .02575   1.0302   1.9219
 -28.0   122.6322   0.74557E-07    75.640   0.1599E-01   .02914   1.0304   1.9222
 -28.0   105.6465   0.35480E-07    56.700   0.1266E-01   .02585   1.0301   1.9217
 -34.0   101.9256   0.98653E-07    53.319   0.4468E-01   .02329   1.0301   1.9213
 -37.0    92.6496   0.12122E-06    47.092   0.2185E+00   .00961   1.0333   1.9111
 -48.0    80.6052   0.74347E-08    31.209   0.1216E-01   .01373   1.0305   1.9166
 -39.0    98.6864   0.78105E-07    49.631   0.3865E-01   .02281   1.0300   1.9213
